title,company,location,link
"자바스크립트, Python 외 신입/경력 정규직, 계약직, 인턴",키친어스,서울 강남구,https://kr.indeed.com/viewjob?jk=25b0fa17d08dd0cd
Data Scientist (AI and Autonomy),BOEING,서울,https://kr.indeed.com/viewjob?jk=8e715115bcdfcd01
상반기 각 부문 신입/경력 직원,한국전자금융,서울,https://kr.indeed.com/viewjob?jk=23af8d8e2fdd7c67
각 부문별,컬리,서울 강남구,https://kr.indeed.com/viewjob?jk=84329a66291839cd
Software Engineer,Google,서울,https://kr.indeed.com/viewjob?jk=e7c8c2b11f24fb43
[ HDC 랩스 ] 2022년 상반기 경력,에이치디씨랩스,성남 분당구,https://kr.indeed.com/viewjob?jk=21d2c5a3f43370e1
[체험형 인턴] 데이터 분석,네이버,서울,https://kr.indeed.com/viewjob?jk=c7cf3ae03de76f24
HANA Development Support Engineer,SAP,서울,https://kr.indeed.com/viewjob?jk=be4f863984f41293
기술 인턴 인공지능 응용 연구/개발 인턴,써로마인드로보틱스,서울 관악구,https://kr.indeed.com/viewjob?jk=71c47ac87bb4087e
AI Frameworks Engineer Intern,Intel,서울,https://kr.indeed.com/viewjob?jk=8164d5e7100c5968
Product Engineer - MPC/MDP/MDM,Siemens,경기도 성남,https://kr.indeed.com/viewjob?jk=f317eb960a3ce005
ICT 경력사원,현대중공업그룹,성남 분당구,https://kr.indeed.com/viewjob?jk=882e071610c0a8cd
주식회사 데이터스트림즈 기술연구소 Python/Java 개발자,데이터스트림즈,성남 분당구,https://kr.indeed.com/viewjob?jk=e1f6164f1d03449a
2022년 1월 CTO R&D 경력사원 (시뮬레이션/Pack/BMS),LG에너지솔루션,과천 과천시,https://kr.indeed.com/viewjob?jk=fcde9bb33408bea7
Renewable Energy Analyst,DNV,서울,https://kr.indeed.com/viewjob?jk=cadddc1d517bc19b
"S/W 엔지니어, 데이터분석 신입/경력 정규직, 인턴",가치랩스,성남 분당구,https://kr.indeed.com/viewjob?jk=5ea9ea023c6ccc03
Sr. Corporate Application Engineer - Calibre DS,Siemens,경기도 성남,https://kr.indeed.com/viewjob?jk=20c4a5de16d47c5c
JR0186078 AI Research Engineer Intern,인텔코리아,서울,https://kr.indeed.com/viewjob?jk=016de9bb83a8032d
[한국필립모리스] 각 부문,한국필립모리스㈜,서울 영등포구,https://kr.indeed.com/viewjob?jk=112db0c64f7899b8
Machine Learning Engineer Intern - Korea,MOLOCO,서울,https://kr.indeed.com/viewjob?jk=69d3cc2cca262747
딥러닝 알고리즘 및 응용 Engineer,딥엑스,성남 분당구,https://kr.indeed.com/viewjob?jk=35f0a25dee5f3312
"인공지능(AI), Python(응용프로그램 개발자) 외 신입/경력 정규직",쿠노소프트,서울 성북구,https://kr.indeed.com/viewjob?jk=8cc372a6b78679b1
2022 데이터 사이언티스트 부문,데이타솔루션,서울 강남구,https://kr.indeed.com/viewjob?jk=5c9f84f18b1b4944
[키움투자자산운용] 자산배분전략팀 팀원 (사원~대리급),키움투자자산운용,서울 영등포구,https://kr.indeed.com/viewjob?jk=1750764e7fad99ec
Planning and Scheduling Optimization Development Engineer,어플라이드 머티리얼즈 코리아,성남 분당구,https://kr.indeed.com/viewjob?jk=9205c6ddd797cac4
"[대형증권사] LP/MM 시스템 개발 및 운영,유지보수",인코리아 프로페셔널,서울 강남구,https://kr.indeed.com/viewjob?jk=91bddba7f7620d51
현대백화점 데이터기획팀 데이터 분석/기획 경력,현대백화점,서울 삼성역,https://kr.indeed.com/viewjob?jk=7d205770c41f1c8b
전문연구요원 (병역특례) 수시 (AI / HW 분야),딥엑스,성남 분당구,https://kr.indeed.com/viewjob?jk=78e99625e5de3c95
딥러닝 AI 개발 연구원,베이리스,성남 수정구,https://kr.indeed.com/viewjob?jk=87309d3ff40ead61
2022년 2월 경력사원 (품질),LG에너지솔루션,청주 오창읍,https://kr.indeed.com/viewjob?jk=9f6ca44bd1c54a7b
Data 분야 경력,LG CNS,서울,https://kr.indeed.com/viewjob?jk=6d86e9f32d31c84f
[외국계 스타트업 미소] Business Analyst,유한회사 미소,서울,https://kr.indeed.com/viewjob?jk=51df90967b46e8f0
5G R&D 소프트웨어 개발자,Ericsson,서울,https://kr.indeed.com/viewjob?jk=df86d9b3c5f1ead7
Python Programmer,Mofac,서울 서초구,https://kr.indeed.com/viewjob?jk=df21e3bb5d773616
데이터 사이언티스트 전문가,LG전자,서울특별시,https://kr.indeed.com/viewjob?jk=485252a8f28fa0f8
"빅데이터, 인공지능(AI) 외 신입/경력 정규직",하나금융티아이,서울 강남구,https://kr.indeed.com/viewjob?jk=de354a752cd7f42e
Quantitative Research Intern,WorldQuant,서울,https://kr.indeed.com/viewjob?jk=4a0a7b36dbc554f9
"국제 경제 애널리스트 (Analyst - Data Scientist, 병특 포함)",코리아피디에스,서울 마포구,https://kr.indeed.com/viewjob?jk=c534ea87b63883bd
빅데이터 분석 기술인력 (정규직),한국정보기술단,서울 강남구,https://kr.indeed.com/viewjob?jk=c793a3ef3425f495
모바일 운영서비스 빌드/배포/테스트 자동화 개발자,브롤브,서울 마포구,https://kr.indeed.com/viewjob?jk=00b0f4d1f5f56d14
[대기업] 클라우드 서비스 솔루션 개발,비에이블컨설팅그룹,서울,https://kr.indeed.com/viewjob?jk=2cd08e43d8b37f87
자산운용팀 전략/리스크팀 퀀트(겨울방학 인턴),마이퍼스트에셋자산운용,대한민국,https://kr.indeed.com/viewjob?jk=872035f47cfd4850
[KSTEC] 통계/Analytics 신입 및 경력사원,지식시스템,성남 분당구,https://kr.indeed.com/viewjob?jk=b955c9f452035bd8
Junior Structural Engineer,SYSTRA,서울,https://kr.indeed.com/viewjob?jk=82d47e44be45bb97
Support Engineer- Developer,Microsoft,서울,https://kr.indeed.com/viewjob?jk=f8691758f74c5242
코딩에 빠진 수퍼 개발자 (펌웨어 개발),에바,성남 수정구,https://kr.indeed.com/viewjob?jk=f54bac6c78fd3240
NAVER Cloud 사내 플랫폼 운영,NIT Service,성남 삼평동,https://kr.indeed.com/viewjob?jk=e8004f38042e7d44
2022년 2월 경력사원 (제조지능화),LG에너지솔루션,청주 오창읍,https://kr.indeed.com/viewjob?jk=05b54a7b23b66511
"[Robotics] Robotics Software Engineer, Navigation",네이버,서울,https://kr.indeed.com/viewjob?jk=f21952a2d7a0bfd8
Data Scientist (IBM Client Engineering),IBM,서울,https://kr.indeed.com/viewjob?jk=5a1932132530e651
데이터 사이언티스트,Bagelcode,서울,https://kr.indeed.com/viewjob?jk=19beeb5c7f50c5b4
[HDC 랩스] 2022년 상반기 경력,현대산업개발,서울특별시,https://kr.indeed.com/viewjob?jk=ca42174fece4f1e7
C++ Developer for High-Performance Cloud Database,SAP,서울,https://kr.indeed.com/viewjob?jk=94bce0fed7e3366d
"[대기업] 딥러닝 (AI, 영상인식) 전문가 (석박사급)",비에이블컨설팅그룹,서울,https://kr.indeed.com/viewjob?jk=b9e398dad2b59007
2022년 2월 경력사원 (설비기술),LG에너지솔루션,청주 오창읍,https://kr.indeed.com/viewjob?jk=a1d1d5bf76c45576
[TmaxEdu/R&D] 연구 개발자,티맥스소프트,성남 분당구,https://kr.indeed.com/viewjob?jk=cb4eca654b2c2901
Software Intern,Maxim Integrated,서울,https://kr.indeed.com/viewjob?jk=e11919aa1a40d234
CRM 및 마케팅 데이터분석 담당자 - 국내 대기업 계열사,라피플코리아리미티드,서울,https://kr.indeed.com/viewjob?jk=7fe0c284fbf4045f
데이터표준화 부문 경력,현대오토에버,서울 강남구,https://kr.indeed.com/viewjob?jk=7585ef1908280606
디지털 미디어 매니저(퍼포먼스&브랜딩) 신입/경력,스스스스,서울 서초구,https://kr.indeed.com/viewjob?jk=4d6fa0f1b9726d7c
Data Engineer & Scientist,LG전자,서울 영등포구,https://kr.indeed.com/viewjob?jk=6b46ce7e432daab8
네이버 파이낸셜 플랫폼 운영,NIT Service,성남 삼평동,https://kr.indeed.com/viewjob?jk=b3a6c83c9debcb92
Engineer,bolttech,서울,https://kr.indeed.com/viewjob?jk=3bceec7af2332b83
Software Developer & Verification,Ericsson,서울,https://kr.indeed.com/viewjob?jk=3fbf16cd38fd66c8
Data Engineer (Python Backend 경력자),드림어스컴퍼니,서울 서초구,https://kr.indeed.com/viewjob?jk=13059ac76a29fa54
[NHN SOFT] Back-End 경력 개발자,엔에이치엔소프트,성남 분당구,https://kr.indeed.com/viewjob?jk=3617e30a1af44426
"Software Engineer, Android Connectivity",Google,서울,https://kr.indeed.com/viewjob?jk=cb973769974700e0
국내 대기업 - AI 및 딥러닝 관련 경력자,라피플코리아리미티드,서울,https://kr.indeed.com/viewjob?jk=3b7dbdf85a326a6d
"[TmaxMetaverse/R&D] 게임 엔진, 게임 서버, 메타버스 스튜디오 개발자",티맥스소프트,성남 분당구,https://kr.indeed.com/viewjob?jk=b9d4defa6e2b7739
인재 Pool 등록,S&I Corp.,대한민국,https://kr.indeed.com/viewjob?jk=e29bd57c416ee579
하반기 신입(채용 연계형 인턴) 수시채용,홈앤쇼핑,서울 마곡동,https://kr.indeed.com/viewjob?jk=79fb95da6dff4025
ML Engineer_Eng,Riiid Labs,서울,https://kr.indeed.com/viewjob?jk=9ab9e1640fdc64d5
[국비무료/취업연계] 실무프로젝트 기반 빅데이터/핀테크/인공지능 연수생,아시아경제,서울 중구,https://kr.indeed.com/viewjob?jk=d8918f984b349ea6
"교육 기획/운영, 시스템 기획",매직에코,서울 성동구,https://kr.indeed.com/viewjob?jk=9f0ce22eee4259bb
응용소프트웨어 설계 및 개발(Python),유징테크,포항 남구,https://kr.indeed.com/viewjob?jk=555c31d136dccadb
생명정보학 부문 박사졸 선임연구원 정규직 정규직,카이팜,서울 서대문구,https://kr.indeed.com/viewjob?jk=3cd339cf8959f44d
[전문연구요원 신규편입/전직] 의료영상/음성인식/생체신호 연구원,뷰노코리아,서울 서초구,https://kr.indeed.com/viewjob?jk=40de6a4b81f8724f
Data Engineer_Eng,Riiid Labs,서울,https://kr.indeed.com/viewjob?jk=a5868277027bf920
Quantitative Researcher,WorldQuant,서울,https://kr.indeed.com/viewjob?jk=aa20b37148768ec5
파이썬 개발자 초중급 이상,데이터앤솔루션,서울 서초구,https://kr.indeed.com/viewjob?jk=d158e683dc0b7500
서버 개발자 Python(Django) Developer (신입/경력),아테나스랩,서울 마포구,https://kr.indeed.com/viewjob?jk=ebd9b7e972f551fc
[신입/경력] 의료영상/음성인식/생체신호 연구원,뷰노코리아,서울 서초구,https://kr.indeed.com/viewjob?jk=c35e9b72a11aa338
[시높시스코리아] 2022년 Training & Hiring Program,서울여자대학교,서울 노원구,https://kr.indeed.com/viewjob?jk=474d97735565073a
Data Scientist,Boston Consulting Group,서울,https://kr.indeed.com/viewjob?jk=ccd4f5407a32ba6a
Solana Dapp Developer,MIND AI,서울,https://kr.indeed.com/viewjob?jk=72c3de496b865cfb
Cross Border Ecommerce - Business Intelligence (Based in Seo...,Shopee,서울,https://kr.indeed.com/viewjob?jk=b574f1454ae36aab
Sr. Application Engineer - EBS,Siemens,경기도 성남,https://kr.indeed.com/viewjob?jk=eba169ad2f8bfa95
데이터 전문가(모델러/분석가/엔지니어) 모집,카카오,성남 판교역,https://kr.indeed.com/viewjob?jk=ac9068957c550cb3
"Analyst - Environmental, Social and Governance (12 months co...",McKinsey & Company,서울,https://kr.indeed.com/viewjob?jk=b6f149c5d6b60323
Research Engineer,Riiid Labs,서울,https://kr.indeed.com/viewjob?jk=b79acb8f4c6b4c0d
"데이터베이스개발자, 웹개발 신입/경력 정규직",여의도사람들,서울 영등포구,https://kr.indeed.com/viewjob?jk=e91b5984e7f5d3fd
[NHN Cloud] 운영 및 기술지원,NHN] [NHN Cloud,성남 판교역,https://kr.indeed.com/viewjob?jk=ad07d6a330fb619a
Sr. Application Engineer - AMS,Siemens,경기도 성남,https://kr.indeed.com/viewjob?jk=25d823b03a3113d5
[TmaxAI/R&D] NLP(자연어/문서/음성)부문 개발자,티맥스소프트,성남 분당구,https://kr.indeed.com/viewjob?jk=5fa942bd615ebd27
[포티투마루] 인공지능(AI) 개발자 전 부문,포티투마루,서울 서초구,https://kr.indeed.com/viewjob?jk=22ffe020e40de675
[AWS] Application Developer,Amazon.com,서울,https://kr.indeed.com/viewjob?jk=77f36f436c732078
2월 11번가 Backend 개발 경력공채,십일번가,서울 중구,https://kr.indeed.com/viewjob?jk=cae856b09262a4bb
[외국계 스타트업 미소] Data Analyst,유한회사 미소,서울,https://kr.indeed.com/viewjob?jk=ec5c7ccd76639120
"Visual C++, Python 이용한 소프트웨어 개발 및 유지보수가 가능한 인재",유니테코,용인 기흥구,https://kr.indeed.com/viewjob?jk=b9499f4d0a5a9c36
Vocational Training Program Intern (Developer/Researcher Rol...,SAP,서울,https://kr.indeed.com/viewjob?jk=8a951dcf7c36065e
"C#, Python 외 신입/경력 정규직",윤슬,대전 대덕구,https://kr.indeed.com/viewjob?jk=615237794a40fe5e
소프트웨어 엔지니어,당근마켓,서울 서초구,https://kr.indeed.com/viewjob?jk=bf353e320cf24f99
"[광고 추천] 데이터 과학자, 기계학습(머신러닝) 전문가 모집",카카오,성남 판교역,https://kr.indeed.com/viewjob?jk=8c32b5db8ab28c7d
디지털 미디어 매니저(퍼포먼스&브랜딩) 신입/경력,스스스스,서울 서초구,https://kr.indeed.com/viewjob?jk=4d6fa0f1b9726d7c
물류 수/배송 최적화 및 거점 네트워크 설계 전문가 (유명 대기업),바이커리어,서울,https://kr.indeed.com/viewjob?jk=ffacf5c4b4ca412c
[NAVER Z] 3D 리거,네이버제트,성남 분당구,https://kr.indeed.com/viewjob?jk=e5cf3dda5a485def
인사분야 신입사원 모집,GS칼텍스,서울 역삼동,https://kr.indeed.com/viewjob?jk=d39d5624bfcc6b01
"[Robotics] Robotics Software Engineer, Navigation",네이버,서울,https://kr.indeed.com/viewjob?jk=f21952a2d7a0bfd8
"빅데이터, 인공지능(AI) 외 신입/경력 정규직",하나금융티아이,서울 강남구,https://kr.indeed.com/viewjob?jk=de354a752cd7f42e
[NAVER Cloud] 빅데이터 분석 플랫폼 개발,네이버클라우드,성남 분당구,https://kr.indeed.com/viewjob?jk=ab58a5f77dd9c9c8
[NAVER Cloud] 리눅스 배포판 개발,네이버클라우드,성남 분당구,https://kr.indeed.com/viewjob?jk=e34c06d01e1f387e
"[대기업] 딥러닝 (AI, 영상인식) 전문가 (석박사급)",비에이블컨설팅그룹,서울,https://kr.indeed.com/viewjob?jk=b9e398dad2b59007
AI Software Engineer,GE Appliances,경기도 성남,https://kr.indeed.com/viewjob?jk=53fbfe54f327d9dc
"[대형증권사] LP/MM 시스템 개발 및 운영,유지보수",인코리아 프로페셔널,서울 강남구,https://kr.indeed.com/viewjob?jk=91bddba7f7620d51
JR0186078 AI Research Engineer Intern,인텔코리아,서울,https://kr.indeed.com/viewjob?jk=016de9bb83a8032d
"목동 컴퓨터 학원 코딩 강사 (정규직 및 계약직,경력무관)",아이브코딩목동학원,서울 양천구,https://kr.indeed.com/viewjob?jk=0d6b12bb541bb8ca
[전문연구요원 신규편입/전직] SW Engineer/Backend/Frontend 개발자,뷰노코리아,서울 서초구,https://kr.indeed.com/viewjob?jk=c4145dce440c02f8
Software Engineer,UJET,서울,https://kr.indeed.com/viewjob?jk=30e17a7d8ce9d4d4
[외국계 스타트업 미소] Data Analyst,유한회사 미소,서울,https://kr.indeed.com/viewjob?jk=ec5c7ccd76639120
데이터 사이언티스트 모집,카카오,성남 판교역,https://kr.indeed.com/viewjob?jk=0064deb5fa9cbce0
[제약] 신약 분자설계 연구(선임/책임),BOB네트웍스,성남 분당구,https://kr.indeed.com/viewjob?jk=14d5f070330861c8
[쿠키런: 오븐브레이크] 데이터 분석가 (경력),데브시스터즈,서울 강남구,https://kr.indeed.com/viewjob?jk=e00d3977d633da67
[NHN Cloud] 시스템 엔지니어링,NHN] [NHN Cloud,성남 판교역,https://kr.indeed.com/viewjob?jk=fc09bd46b913c048
[NIT Service] 네이버 파이낸셜 플랫폼 운영,엔아이티서비스,성남 분당구,https://kr.indeed.com/viewjob?jk=1961a1ecccb03336
Software Engineer - Robotics,Canonical - Jobs,서울,https://kr.indeed.com/viewjob?jk=c719ac7a926d4858
Developer / Designer recruit,마이뮤직테이스트,서울 논현동,https://kr.indeed.com/viewjob?jk=55a19c92c845685e
카카오톡 안티어뷰징을 위한 데이터/백엔드 엔지니어 및 머신러닝 전문가 모집,카카오,성남 판교역,https://kr.indeed.com/viewjob?jk=9ab2041ab3380a21
"사물인터넷(IoT) 개발, 메카트로닉스 외 신입/경력 정규직",리쉐니에,수원 영통구,https://kr.indeed.com/viewjob?jk=ae185a03d7b8f71e
Planning and Scheduling Optimization Development Engineer,어플라이드 머티리얼즈 코리아,성남 분당구,https://kr.indeed.com/viewjob?jk=9205c6ddd797cac4
2월 11번가 Backend 개발 경력공채,십일번가,서울 중구,https://kr.indeed.com/viewjob?jk=cae856b09262a4bb
[AI] 서비스/시스템 개발,NHN] [AI,성남 판교역,https://kr.indeed.com/viewjob?jk=b25a378d97c7a56c
하반기 신입(채용 연계형 인턴) 수시채용,홈앤쇼핑,서울 마곡동,https://kr.indeed.com/viewjob?jk=79fb95da6dff4025
